month,16-24,25-34,35-44,45-54,55-64,65+
january-2019,113.6,107.1,78.1,87.2,90.0,122.7
february-2019,117.7,172.9,152.5,197.7,199.5,113.2
march-2019,29.1,226.5,174.0,250.4,179.2,202.9
april-2019,98.5,273.0,267.8,268.8,353.1,166.7
may-2019,100.4,179.6,251.5,222.1,219.9,231.7
june-2019,70.4,149.9,135.6,138.4,273.6,185.0
july-2019,133.3,292.2,389.3,399.6,398.4,303.1
august-2019,120.1,256.2,387.5,236.8,352.7,314.4
september-2019,53.8,36.1,154.0,145.8,293.9,263.7
october-2019,59.4,123.8,199.9,164.2,190.0,256.3
november-2019,120.7,189.0,174.4,112.3,212.3,147.8
december-2019,152.5,237.7,167.7,214.7,160.6,195.8
